iter	Passed	Remaining
0	4	4450
1	4	2446
2	5	1776
3	5	1452
4	6	1291
5	6	1151
6	13	1971
7	16	2054
8	17	1888
9	17	1753
10	18	1631
11	18	1529
12	19	1471
13	19	1399
14	20	1347
15	21	1315
16	22	1283
17	22	1248
18	23	1205
19	23	1171
20	24	1140
21	24	1110
22	25	1086
23	26	1062
24	26	1042
25	27	1013
26	37	1354
27	38	1320
28	38	1300
29	39	1270
30	39	1237
31	40	1225
32	41	1207
33	41	1183
34	42	1169
35	43	1159
36	43	1142
37	44	1123
38	44	1105
39	45	1087
40	45	1073
41	46	1062
42	47	1049
43	47	1037
44	48	1032
45	49	1020
46	49	1011
47	50	1009
48	51	995
49	51	982
50	52	971
51	53	977
52	54	970
53	54	962
54	55	952
55	55	942
56	56	933
57	57	926
58	57	917
59	58	913
60	58	904
61	59	894
62	59	886
63	60	877
64	60	876
65	61	872
66	62	868
67	62	861
68	63	855
69	64	850
70	64	845
71	65	840
72	65	835
73	66	830
74	66	825
75	67	820
76	67	814
77	68	810
78	69	807
79	69	803
80	71	814
81	72	813
82	73	809
83	73	804
84	74	800
85	75	798
86	75	793
87	76	789
88	76	787
89	77	783
90	78	779
91	78	776
92	79	772
93	79	768
94	80	765
95	80	762
96	81	759
97	82	756
98	82	753
99	83	751
100	84	749
101	84	745
102	85	741
103	85	738
104	86	735
105	86	731
106	87	729
107	87	725
108	88	722
109	88	719
110	89	717
111	90	715
112	90	713
113	91	710
114	91	707
115	92	706
116	93	704
117	93	701
118	94	699
119	94	695
120	95	693
121	95	690
122	96	687
123	97	685
124	97	683
125	98	681
126	98	679
127	99	676
128	99	673
129	100	671
130	102	679
131	103	678
132	104	679
133	104	677
134	105	674
135	105	672
136	106	670
137	106	668
138	107	665
139	108	663
140	108	661
141	108	657
142	109	655
143	109	653
144	110	651
145	110	648
146	112	651
147	112	649
148	113	649
149	114	648
150	114	646
151	115	644
152	116	642
153	116	640
154	117	638
155	117	636
156	118	635
157	118	634
158	119	632
159	120	630
160	120	627
161	121	626
162	121	625
163	122	624
164	123	622
165	123	620
166	124	619
167	124	618
168	125	616
169	125	615
170	126	613
171	127	611
172	127	609
173	128	609
174	128	606
175	129	604
176	129	603
177	130	602
178	130	600
179	131	598
180	133	602
181	134	605
182	135	603
183	135	601
184	135	598
185	136	596
186	136	594
187	137	592
188	137	590
189	137	588
190	138	586
191	138	584
192	139	582
193	139	580
194	140	578
195	140	576
196	141	574
197	141	572
198	141	570
199	142	568
200	142	566
201	143	565
202	143	564
203	144	564
204	145	563
205	145	562
206	146	562
207	147	561
208	148	561
209	149	561
210	149	560
211	150	558
212	151	558
213	151	557
214	152	556
215	153	555
216	153	554
217	154	553
218	154	551
219	155	550
220	155	549
221	156	548
222	157	548
223	158	547
224	158	546
225	159	545
226	159	543
227	160	542
228	160	541
229	161	540
230	162	539
231	162	538
232	163	537
233	163	536
234	164	535
235	164	533
236	165	532
237	167	536
238	168	535
239	168	534
240	170	537
241	171	536
242	172	535
243	172	534
244	172	532
245	173	532
246	174	532
247	175	531
248	175	530
249	176	528
250	177	529
251	177	528
252	178	526
253	179	525
254	179	524
255	180	523
256	182	526
257	182	526
258	183	524
259	183	523
260	184	522
261	185	521
262	185	520
263	186	519
264	187	518
265	187	517
266	188	516
267	188	515
268	189	515
269	190	513
270	190	512
271	191	511
272	191	510
273	192	509
274	192	508
275	193	508
276	194	507
277	194	506
278	195	504
279	195	503
280	196	503
281	197	502
282	198	502
283	198	500
284	200	503
285	201	502
286	202	503
287	203	502
288	203	500
289	203	499
290	204	497
291	204	496
292	205	494
293	205	493
294	205	491
295	206	490
296	207	491
297	208	490
298	215	504
299	215	503
300	216	502
301	217	501
302	217	500
303	218	499
304	218	498
305	219	497
306	219	496
307	220	495
308	221	494
309	222	494
310	222	493
311	223	491
312	224	492
313	225	491
314	225	490
315	226	489
316	226	488
317	227	487
318	228	486
319	228	485
320	229	484
321	229	483
322	230	482
323	230	481
324	231	480
325	231	478
326	232	477
327	232	476
328	233	475
329	233	474
330	234	473
331	234	472
332	235	470
333	235	469
334	235	468
335	236	466
336	236	465
337	237	464
338	237	463
339	238	462
340	238	460
341	238	459
342	239	458
343	239	456
344	239	455
345	240	454
346	240	453
347	241	452
348	242	452
349	246	457
350	246	456
351	247	455
352	248	454
353	249	454
354	249	453
355	250	452
356	251	452
357	251	451
358	252	450
359	252	449
360	253	448
361	254	447
362	254	447
363	255	446
364	256	445
365	256	444
366	256	443
367	257	442
368	257	441
369	258	440
370	259	439
371	259	438
372	260	437
373	260	436
374	261	436
375	262	435
376	262	434
377	263	432
378	263	431
379	263	430
380	264	429
381	264	428
382	267	430
383	267	429
384	268	428
385	269	428
386	269	427
387	270	426
388	271	426
389	272	425
390	272	424
391	273	423
392	273	422
393	274	421
394	274	420
395	275	419
396	275	418
397	276	418
398	276	417
399	278	417
400	279	417
401	279	416
402	280	415
403	281	414
404	281	414
405	282	413
406	283	412
407	283	411
408	284	410
409	284	409
410	285	408
411	285	408
412	286	407
413	287	406
414	287	405
415	288	405
416	289	404
417	290	404
418	290	403
419	291	402
420	292	401
421	292	400
422	293	400
423	293	399
424	294	397
425	294	396
426	294	395
427	295	394
428	295	393
429	296	392
430	296	391
431	297	390
432	297	390
433	298	389
434	299	388
435	300	388
436	300	387
437	301	386
438	301	385
439	302	384
440	302	383
441	303	382
442	303	382
443	304	381
444	305	380
445	305	379
446	306	379
447	307	378
448	307	377
449	308	376
450	308	375
451	309	374
452	309	373
453	310	373
454	311	372
455	311	371
456	312	370
457	312	370
458	313	369
459	314	368
460	315	368
461	316	368
462	316	367
463	317	366
464	317	365
465	318	364
466	318	363
467	319	363
468	319	362
469	320	361
470	321	360
471	321	360
472	322	359
473	322	358
474	323	357
475	324	356
476	324	356
477	325	355
478	326	354
479	327	354
480	328	354
481	328	353
482	329	352
483	330	351
484	330	350
485	330	349
486	331	349
487	332	348
488	333	347
489	333	347
490	334	346
491	334	345
492	335	345
493	336	344
494	336	343
495	337	342
496	337	341
497	338	341
498	339	340
499	339	339
500	340	338
501	340	338
502	341	337
503	342	336
504	342	335
505	343	335
506	343	334
507	344	333
508	345	333
509	345	332
510	346	331
511	347	330
512	347	330
513	348	329
514	349	328
515	349	328
516	350	327
517	350	326
518	351	325
519	351	324
520	352	323
521	352	323
522	353	322
523	354	321
524	354	320
525	355	320
526	355	319
527	357	319
528	358	318
529	358	318
530	359	317
531	359	316
532	360	315
533	360	314
534	361	314
535	362	314
536	363	313
537	364	312
538	364	311
539	365	311
540	365	310
541	366	309
542	367	309
543	368	308
544	368	307
545	369	306
546	369	306
547	370	305
548	370	304
549	371	303
550	371	303
551	372	302
552	373	301
553	373	300
554	373	299
555	374	298
556	374	298
557	375	297
558	376	296
559	376	295
560	377	295
561	377	294
562	377	293
563	378	292
564	379	291
565	379	291
566	380	290
567	380	289
568	381	288
569	381	287
570	382	287
571	382	286
572	383	285
573	384	285
574	384	284
575	385	283
576	385	282
577	386	282
578	386	281
579	387	280
580	387	279
581	388	278
582	388	278
583	389	277
584	390	276
585	390	276
586	391	275
587	392	274
588	392	274
589	393	273
590	393	272
591	394	271
592	394	270
593	395	270
594	395	269
595	399	270
596	399	269
597	400	269
598	400	268
599	401	267
600	401	266
601	402	265
602	402	265
603	403	264
604	404	264
605	405	263
606	406	263
607	406	262
608	407	261
609	408	260
610	408	260
611	409	259
612	409	258
613	410	258
614	411	257
615	411	256
616	412	256
617	413	255
618	413	254
619	414	253
620	414	253
621	415	252
622	415	251
623	416	250
624	416	249
625	417	249
626	417	248
627	418	247
628	419	247
629	419	246
630	419	245
631	420	244
632	420	244
633	421	243
634	421	242
635	422	241
636	423	241
637	423	240
638	423	239
639	424	238
640	424	237
641	425	237
642	426	236
643	426	235
644	427	235
645	428	234
646	428	233
647	429	233
648	430	232
649	430	231
650	431	231
651	431	230
652	432	229
653	433	229
654	433	228
655	434	227
656	434	227
657	435	226
658	436	225
659	436	224
660	437	224
661	437	223
662	437	222
663	438	222
664	439	221
665	439	220
666	440	219
667	441	219
668	441	218
669	442	217
670	442	217
671	443	216
672	443	215
673	444	215
674	445	214
675	445	213
676	445	212
677	446	212
678	446	211
679	447	210
680	448	210
681	448	209
682	449	208
683	449	207
684	450	207
685	451	206
686	451	205
687	452	205
688	452	204
689	453	203
690	453	202
691	454	202
692	454	201
693	454	200
694	455	199
695	455	199
696	456	198
697	456	197
698	457	196
699	457	196
700	457	195
701	458	194
702	458	193
703	459	193
704	459	192
705	460	191
706	460	190
707	460	190
708	461	189
709	461	188
710	462	187
711	462	187
712	462	186
713	463	185
714	463	184
715	464	184
716	464	183
717	464	182
718	465	181
719	465	181
720	465	180
721	466	179
722	466	178
723	467	178
724	467	177
725	467	176
726	468	175
727	468	175
728	469	174
729	469	173
730	470	172
731	470	172
732	470	171
733	471	170
734	471	170
735	472	169
736	474	169
737	474	168
738	475	168
739	476	167
740	476	166
741	477	166
742	477	165
743	478	164
744	479	163
745	481	164
746	482	163
747	482	162
748	483	161
749	483	161
750	483	160
751	484	159
752	484	158
753	485	158
754	485	157
755	486	156
756	486	156
757	486	155
758	487	154
759	487	154
760	488	153
761	488	152
762	488	151
763	489	151
764	489	150
765	490	149
766	490	149
767	490	148
768	491	147
769	491	146
770	492	146
771	492	145
772	492	144
773	493	144
774	493	143
775	494	142
776	494	141
777	495	141
778	496	140
779	496	140
780	497	139
781	497	138
782	498	138
783	498	137
784	499	136
785	499	136
786	500	135
787	500	134
788	501	133
789	501	133
790	501	132
791	502	131
792	502	131
793	503	130
794	503	129
795	504	129
796	507	129
797	508	128
798	508	127
799	509	127
800	510	126
801	510	126
802	511	125
803	511	124
804	512	124
805	512	123
806	512	122
807	513	122
808	514	121
809	515	121
810	516	120
811	516	119
812	517	119
813	517	118
814	518	117
815	520	117
816	520	116
817	521	115
818	521	115
819	522	114
820	522	113
821	522	113
822	523	112
823	523	111
824	524	111
825	524	110
826	524	109
827	525	109
828	525	108
829	526	107
830	526	107
831	526	106
832	527	105
833	527	105
834	528	104
835	528	103
836	529	103
837	549	106
838	550	105
839	576	109
840	576	109
841	576	108
842	577	107
843	583	107
844	583	107
845	584	106
846	584	105
847	585	104
848	585	104
849	586	103
850	586	102
851	586	101
852	587	101
853	587	100
854	588	99
855	588	98
856	588	98
857	589	97
858	589	96
859	590	96
860	590	95
861	590	94
862	591	93
863	591	93
864	592	92
865	592	91
866	592	90
867	593	90
868	593	89
869	602	89
870	602	89
871	602	88
872	603	87
873	603	87
874	604	86
875	605	85
876	605	84
877	606	84
878	606	83
879	607	82
880	607	82
881	608	81
882	608	80
883	615	80
884	625	81
885	625	80
886	626	79
887	626	79
888	627	78
889	627	77
890	628	76
891	628	76
892	628	75
893	629	74
894	629	73
895	630	73
896	630	72
897	631	71
898	631	70
899	631	70
900	632	69
901	632	68
902	633	67
903	633	67
904	633	66
905	634	65
906	634	65
907	635	64
908	635	63
909	637	63
910	638	62
911	639	61
912	639	60
913	640	60
914	641	59
915	641	58
916	644	58
917	644	57
918	645	56
919	646	56
920	646	55
921	647	54
922	648	54
923	648	53
924	648	52
925	649	51
926	649	51
927	650	50
928	650	49
929	650	48
930	651	48
931	653	47
932	654	46
933	654	46
934	655	45
935	656	44
936	656	44
937	657	43
938	657	42
939	658	42
940	658	41
941	659	40
942	660	39
943	661	39
944	661	38
945	662	37
946	662	37
947	663	36
948	663	35
949	665	35
950	666	34
951	667	33
952	669	33
953	669	32
954	670	31
955	670	30
956	671	30
957	672	29
958	673	28
959	674	28
960	674	27
961	675	26
962	676	25
963	676	25
964	677	24
965	677	23
966	678	23
967	678	22
968	679	21
969	680	21
970	680	20
971	680	19
972	681	18
973	681	18
974	682	17
975	682	16
976	683	16
977	684	15
978	684	14
979	685	13
980	685	13
981	686	12
982	689	11
983	689	11
984	690	10
985	690	9
986	692	9
987	692	8
988	693	7
